ein,organization_name,dance_styles
132678071,Doug Varone and Dancers,modern_contemporary
272278749,GALLIM,modern_contemporary
263416084,Nimbus Dance,modern_contemporary
341856594,GroundWorks DanceTheater,modern_contemporary
330394537,Malashock Dance,modern_contemporary
222433530,Carolyn Dorfman Dance,modern_contemporary
264485060,Whim W’Him,modern_contemporary
205477825,Contra Tiempo,modern_contemporary
582671160,Viver Brasil Dance Company,modern_contemporary
541818423,Bowen McCauley Dance Co.,modern_contemporary
262085983,Invertigo Dance Theatre,modern_contemporary
412211673,Sarasota Contemporary Dance,modern_contemporary
473981989,Jacob Jonas,modern_contemporary
232842844,Rennie Harris Puremovement,modern_contemporary
237279914,Dimensions Dance Theater,modern_contemporary
300147677,LEVYdance,modern_contemporary
133096579,Emerge 125,modern_contemporary
272706005,Big Muddy Dance Company,modern_contemporary
522350570,Flyaway Productions,modern_contemporary
363367585,Hedwig Dances,modern_contemporary
522021448,Dana Tai Soon Burgess Dance Company,modern_contemporary
222930684,Nai-Ni Chen Dance Company,modern_contemporary
743190852,Owen/Cox Dance Group,modern_contemporary
50575068,Backhausdance,modern_contemporary
133236256,Peridance Contemporary Dance Company,modern_contemporary
260007578,Inlet Dance Theatre,modern_contemporary
474631028,Open Dance Project,modern_contemporary
452960043,Ballet des Ameriques,modern_contemporary
382456161,Wellspring/Cori Terry & Dancers,modern_contemporary
742503031,Kim Robards Dance,modern_contemporary
711004429,Kun-Yang Lin/Dancers,modern_contemporary
208974539,Red Clay Dance Company,modern_contemporary
112967342,WHITE WAVE - Young Soon Kim Dance Company,modern_contemporary
542080734,Lydia Johnson Dance,modern_contemporary
362906984,Muntu Dance Theatre of Chicago,modern_contemporary
133838879,Buglisi Dance Theatre,modern_contemporary
465028488,SALT Contemporary Dance,modern_contemporary
463222189,New Dialect,modern_contemporary
454254070,Amy Seiwert's Imagery,modern_contemporary
463260588,Ate9 Dance Company,modern_contemporary
202793024,Ormao Dance Company,modern_contemporary
30589266,Keigwin + Company,modern_contemporary
271889608,MashUp Contemporary Dance Company,modern_contemporary
830458822,Lineage Dance,modern_contemporary
161728156,LA Contemporary Dance Company,modern_contemporary
330629293,BrockusRED,modern_contemporary
470926561,Robert Moses' KIN,modern_contemporary
208637269,Black Label Movement,modern_contemporary
43003908,Liss Fain Dance,modern_contemporary
222253752,The Kennedy Dancers Inc.,modern_contemporary
270472565,Visceral Dance Chicago,modern_contemporary
452901500,Helen Simoneau Danse,modern_contemporary
474122204,Vim Vigor Dance,modern_contemporary
273479875,Threads Dance Project,modern_contemporary
205412438,Sidra Bell Dance New York,modern_contemporary
455583670,Eryc Taylor Dance,modern_contemporary
320389505,Pony Box Dance Theatre,modern_contemporary
273618957,Khecari,modern_contemporary
831788832,Jamel Gaines Creative Outlet,modern_contemporary
141744836,Ellen Sinopoli Dance Company,modern_contemporary
830937431,Boston Dance Theater,modern_contemporary
742137177,Deborah Hay Dance Company,modern_contemporary
522272446,Stefanie Nelson Dancegroup,modern_contemporary
134136382,Tiffany Mills Company,modern_contemporary
821538627,Alison Cook Beatty Dance,modern_contemporary
208538132,Danse4Nia Repertory Ensemble (Phoenix Danse),modern_contemporary
134045646,Artichoke Dance Company,modern_contemporary
822148621,Hivewild,modern_contemporary
431624515,Wylliams/Henry Contemporary Dance,modern_contemporary
461897622,JAE - Jean Appolon Expressions,modern_contemporary
800153273,Dance Iquail,modern_contemporary
201638077,BoSoma Dance Company,modern_contemporary
262076384,Davis Contemporary Dance Company,modern_contemporary
822752540,MICHIYAYA,modern_contemporary
833283330,Kairos Dance Theater,modern_contemporary
113585691,Amy Marshall Dance Company,modern_contemporary
471741512,MORAPORVIDA CONTEMPORARY DANCE,modern_contemporary
832034220,Arch Ballet,ballet
383980587,PDX Contemporary Ballet,ballet
453508749,Ballet Next,ballet
841805666,South Dakota Ballet,ballet
862364624,North Atlantic Dance Theatre,ballet
454231295,Marigny Opera Ballet,ballet
274932963,Texture Contemporary Ballet,ballet
813872831,Ballet Sun Valley,ballet
862924498,Dance Aspen,ballet
237247009,Chattanooga Ballet,ballet
383945001,Cleveland Ballet,ballet
134280268,American Contemporary Ballet,ballet
840776736,Canyon Concert Ballet,ballet
455395602,Ballet 5:8,ballet
946137593,Peninsula Ballet Theatre,ballet
462580700,Moveius Contemporary Ballet,ballet
61537525,Ballet Theatre Company,ballet
264256235,Winston-Salem Festival Ballet,ballet
953645705,Anaheim Ballet,ballet
421366753,Ballet Quad Cities,ballet
453021279,Balletcollective,ballet
237247909,New Mexico Ballet Company,ballet
581336559,Gwinnett Ballet Theatre,ballet
270524329,Ballet Frontier,ballet
205713495,Cuban Classical Ballet of Miami,ballet
237282935,Carolina Ballet Theatre,ballet
461513558,Ballet Vero Beach,ballet
371123532,Twin Cities Ballet,ballet
880491536,Sierra Nevada Ballet,ballet
260868264,Paradosi Ballet Company,ballet
542124670,Terpsicorps Theatre of Dance,ballet
263625948,Luminario Ballet,ballet
822490098,Barak Ballet,ballet
823306346,Ballet North Texas,ballet
824650392,City Ballet of Boston,ballet
680652111,Ballet Inc.,ballet
943291532,Chamber Dance Project,ballet
844735639,The Rosin Box Project,ballet
263955983,Ballet Misha,ballet
50513793,Providence Ballet Theatre,ballet
834702183,East Coast Contemporary Ballet,ballet
222354624,Catskill Ballet Theatre,ballet
471758099,MorDance,ballet
61605067,Les Ballets Eloelle/Grandiva,ballet
821816691,United Ballet Theatre,ballet
881773617,Deos Contemporary Ballet,ballet
,ballet22,ballet
,Ballez,ballet
813230414,Ballet Hartford,ballet
134159687,Akjun Ballet Theatre,ballet
561121833,Asheville Ballet,ballet
455088306,Avant Chamber Ballet,ballet
452960043,Ballet des Ameriques,ballet
,Ballet Magique,ballet
411703583,Ballet Minnesota,ballet
262443093,Ballet Virginia,ballet
,Ballets de San Juan,ballet
800923968,Bay Pointe Ballet,ballet
593215839,Brandon Ballet,ballet
,Central Illinois Ballet,ballet
,Chicago Festival Ballet,ballet
570943743,Columbia Classical Ballet,ballet
237057459,Delta Festival Ballet,ballet
911768520,Fargo Moorhead Ballet,ballet
591837297,Florida Ballet Jacksonville,ballet
566075580,Greensboro Ballet,ballet
630505056,Huntsville Ballet Company,ballet
510161971,Lexington Ballet,ballet
820931332,Magnum Opus Ballet,ballet
,Minnesota Ballet,ballet
330461414,San Diego Ballet,ballet
,Suzanne Farrell,ballet
831570722,Complexions Contemporary Ballet,ballet
,LA Dance Project,
